494,374
650,368
246,258
885,174
517,135
367,182
252,379
814,83
104,311
114,192
221,164
759,240
845,265
305,128
230,324
176,160
44,153
405,139
473,141
169,319
748,306
58,53
691,259
704,187
791,168
248,190
603,368
645,116
700,140
934,312
541,426
244,323
457,385
175,104
73,269
880,117
413,88
500,262
89,53
434,236
221,122
346,318
220,213
650,285
86,257
578,336
780,343
130,352
810,245
460,272
460,312
620,112
750,100
245,124
450,94
838,297
480,45
577,192
100,100
554,156
710,107
710,229
678,358
188,260
910,255
467,191
316,84
425,286
740,150
385,365
400,190
797,305
868,321
343,70
860,85
935,159
186,131
357,100
591,390
542,368
280,122
